[12:52:31] GPU monitor started (nb84 PID parent=1801745)
[15:33:06] GPU2: util=3% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:34:07] GPU2: util=3% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:35:07] GPU2: util=11% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:36:08] GPU2: util=20% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:37:09] GPU2: util=17% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:38:09] GPU2: util=7% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:39:10] GPU2: util=5% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:40:10] GPU2: util=20% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:41:11] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:42:12] GPU2: util=5% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:43:13] GPU2: util=21% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:44:14] GPU2: util=24% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:45:14] GPU2: util=17% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:46:18] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:47:18] GPU2: util=21% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:48:19] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:49:19] GPU2: util=3% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:50:19] GPU2: util=17% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:51:20] GPU2: util=6% mem=35005MiB free=10380MiB | nb84=3788MiB
[15:52:21] GPU2: util=18% mem=35029MiB free=10356MiB | nb84=3788MiB
[15:53:21] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:54:22] GPU2: util=21% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:55:22] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:56:23] GPU2: util=22% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:57:24] GPU2: util=20% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:58:24] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[15:59:25] GPU2: util=4% mem=35031MiB free=10354MiB | nb84=3788MiB
[16:00:26] GPU2: util=17% mem=35031MiB free=10354MiB | nb84=3788MiB
[16:01:28] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[16:02:28] GPU2: util=6% mem=35031MiB free=10354MiB | nb84=3788MiB
[16:03:28] GPU2: util=7% mem=20136MiB free=25249MiB | nb84=3788MiB
[16:04:29] GPU2: util=11% mem=20136MiB free=25249MiB | nb84=3788MiB
[16:05:29] GPU2: util=20% mem=20833MiB free=24552MiB | nb84=3788MiB
[16:06:30] GPU2: util=21% mem=20835MiB free=24550MiB | nb84=3788MiB
[16:07:30] GPU2: util=17% mem=20835MiB free=24550MiB | nb84=3788MiB
[16:08:31] GPU2: util=7% mem=20835MiB free=24550MiB | nb84=3788MiB
[16:09:34] GPU2: util=22% mem=20835MiB free=24550MiB | nb84=3788MiB
[16:10:39] GPU2: util=8% mem=20835MiB free=24550MiB | nb84=3788MiB
[16:11:39] GPU2: util=36% mem=20835MiB free=24550MiB | nb84=3788MiB
[16:12:41] GPU2: util=100% mem=31275MiB free=12570MiB | nb84=3788MiB
[16:12:41] 🟢 Training aktif (util=100%)
[16:13:42] GPU2: util=100% mem=39875MiB free=5510MiB | nb84=3788MiB
[16:13:42] 🟢 Training aktif (util=100%)
[16:14:42] GPU2: util=100% mem=39875MiB free=5510MiB | nb84=3788MiB
[16:14:42] 🟢 Training aktif (util=100%)
[16:15:43] GPU2: util=100% mem=39875MiB free=5510MiB | nb84=3788MiB
[16:15:43] 🟢 Training aktif (util=100%)
[16:16:45] GPU2: util=98% mem=39851MiB free=5534MiB | nb84=3788MiB
[16:16:45] 🟢 Training aktif (util=98%)
[16:17:45] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:17:45] 🟢 Training aktif (util=100%)
[16:18:46] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:18:46] 🟢 Training aktif (util=100%)
[16:19:47] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:19:47] 🟢 Training aktif (util=100%)
[16:20:48] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:20:48] 🟢 Training aktif (util=100%)
[16:21:48] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:21:48] 🟢 Training aktif (util=100%)
[16:22:49] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:22:49] 🟢 Training aktif (util=100%)
[16:23:50] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:23:50] 🟢 Training aktif (util=100%)
[16:24:51] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:24:51] 🟢 Training aktif (util=100%)
[16:25:51] GPU2: util=100% mem=39853MiB free=5532MiB | nb84=3788MiB
[16:25:51] 🟢 Training aktif (util=100%)
[16:26:52] GPU2: util=100% mem=39825MiB free=5560MiB | nb84=3788MiB
[16:26:52] 🟢 Training aktif (util=100%)
[16:27:53] GPU2: util=100% mem=39825MiB free=5560MiB | nb84=3788MiB
[16:27:53] 🟢 Training aktif (util=100%)
[16:28:53] GPU2: util=100% mem=39825MiB free=5560MiB | nb84=3788MiB
[16:28:53] 🟢 Training aktif (util=100%)
[16:29:54] GPU2: util=99% mem=39825MiB free=5560MiB | nb84=3788MiB
[16:29:54] 🟢 Training aktif (util=99%)
[16:30:55] GPU2: util=100% mem=39835MiB free=5550MiB | nb84=3788MiB
[16:30:55] 🟢 Training aktif (util=100%)
[16:31:56] GPU2: util=100% mem=39835MiB free=5550MiB | nb84=3788MiB
[16:31:56] 🟢 Training aktif (util=100%)
[16:32:57] GPU2: util=100% mem=39889MiB free=5496MiB | nb84=3788MiB
[16:32:57] 🟢 Training aktif (util=100%)
[16:33:58] GPU2: util=99% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:33:58] 🟢 Training aktif (util=99%)
[16:34:59] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:34:59] 🟢 Training aktif (util=100%)
[16:35:59] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:35:59] 🟢 Training aktif (util=100%)
[16:37:01] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:37:01] 🟢 Training aktif (util=100%)
[16:38:01] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:38:01] 🟢 Training aktif (util=100%)
[16:39:01] GPU2: util=22% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:40:02] GPU2: util=100% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:40:02] 🟢 Training aktif (util=100%)
[16:41:03] GPU2: util=16% mem=39893MiB free=5492MiB | nb84=3788MiB
[16:42:04] GPU2: util=35% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:43:04] GPU2: util=100% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:43:04] 🟢 Training aktif (util=100%)
[16:44:06] GPU2: util=100% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:44:06] 🟢 Training aktif (util=100%)
[16:45:07] GPU2: util=18% mem=39863MiB free=5522MiB | nb84=3788MiB
[16:46:08] GPU2: util=20% mem=39863MiB free=5522MiB | nb84=3788MiB
